PFTDPW,POMCPOW,times
-27.03035298474087,-18.459725926865822,0.01
-24.844223029454994,-15.646763581434987,0.01
-16.76772795322748,-13.002313530877622,0.01
-28.520354622748055,-32.160758681919745,0.01
-7.987658941350003,-11.353035359164501,0.01
-4.5,-12.665644104293072,0.01
-6.424530283277763,-10.236457073361576,0.01
-9.670016574875925,-14.312304066621378,0.01
-17.156238587203042,-7.603475910855986,0.01
-10.734857649081382,-40.831619803732636,0.01
-1.7799288369582413,-23.50514972573925,0.01
-18.018178711374727,-47.746671991050896,0.01
-7.987658941350003,-24.003674328397256,0.01
-15.272843273001,-9.035745886350004,0.01
-8.078846144425922,-29.2297560906495,0.01
-6.069052980450001,-12.307692090636383,0.01
-8.880802876034238,-16.084185283277765,0.01
-23.37683442897683,-21.023454358924248,0.01
-19.84164979249351,-20.181285938273472,0.01
-17.809921224875925,-31.869017597213485,0.01
-8.010537480450003,-32.54312829850815,0.01
-33.424747931341386,-26.102415513539217,0.01
-11.685473176484999,-6.648613437304168,0.01
-33.386992953227484,-20.716509752956203,0.01
-4.653913304949987,-23.88289392603424,0.01
-3.8293193209109173,-16.78213745180804,0.01
-27.14159368191974,-17.108825390001282,0.01
-4.41776207650949,-22.944427972804174,0.01
-12.15,-14.558520073905404,0.01
-8.66493768039999,-19.947702515987753,0.01
-32.295590576483335,-22.265521390802547,0.01
-13.982902936787484,-18.660083245206224,0.01
-13.370444236369725,-30.77392753540924,0.01
-36.43871773698274,-17.407463194319828,0.01
-14.272849505882478,-17.2675351878645,0.01
-32.568602445,-22.693427074755007,0.01
-12.929866981419739,-14.787484058590424,0.01
-22.184690249164504,-25.380461358683327,0.01
-23.104352682405004,-16.653253008750664,0.01
-13.29383962274805,-28.46963461938872,0.01
-12.723742140649499,-16.43437722127305,0.01
-14.68191457765304,-19.69440775590965,0.01
-18.510693288262424,-26.510420884015645,0.01
-9.346762799233048,-12.664526778819829,0.01
-14.179803249257542,-17.848833601935,0.01
-21.007350000000002,-19.297850350500003,0.01
-6.642324283905003,-22.335800607023334,0.01
-20.80714924545658,-20.551292738181377,0.01
-20.604052980450003,-21.783205474812593,0.01
-10.410248742493504,-21.846140709664507,0.01
-4.843666550649153,-18.00365426593333,0.01
-25.06076780127999,-32.137638536832405,0.01
-9.88408990644999,-30.59108633301081,0.01
-22.107248196573156,-19.63788528435416,0.01
-15.490690303707824,-8.40699699914783,0.01
-24.116558105473246,-22.61211545331592,0.01
-16.46368438880183,-10.506455127405003,0.01
-16.792904029454988,-17.110717463114252,0.01
-16.29652641832215,-27.111018633132147,0.01
-9.737883339928237,-28.81928196039,0.01
-20.890280579300082,-16.337866646569502,0.01
-16.780875189928235,-11.052557067748054,0.01
-8.630589696573153,-30.808948170349176,0.01
-23.9129340088365,-18.415915549813246,0.01
-24.977770425450004,-12.54334281738833,0.01
-21.872447697442265,-32.89636246236255,0.01
-14.901082182405002,-11.637017873248052,0.01
-23.10403432269804,-30.646400659313663,0.01
-8.239658766341758,-22.57801668656171,0.01
-30.321215165492767,-14.890947723161238,0.01
-19.120339897942266,-24.956950453507257,0.01
-22.137854777984998,-17.72490176570624,0.01
-16.988863500000004,-23.291786076995916,0.01
-2.4955630748759217,-19.477415998907578,0.01
-23.043291601500005,-46.67011228559991,0.01
-9.409941968276751,-18.170246317388333,0.01
-13.509686326485001,-12.775552774587734,0.01
-6.642324283905003,-14.61279630734805,0.01
-19.17127757650949,-15.1114471406495,0.01
-18.402425340456578,-20.284044190995424,0.01
-18.700552980450002,-12.953661905173645,0.01
-15.470419486108044,-22.076037039040422,0.01
-14.797352513864478,-17.687766157916734,0.01
-3.4203754714109174,-26.482564107972564,0.01
-9.167028549224256,-12.46873718884755,0.01
-5.736614601823248,-9.599142182084549,0.01
-17.318812015841385,-25.706552052657305,0.01
-9.05350177391324,-13.45231297046016,0.01
-26.209453500000006,-20.1209648026197,0.01
-5.812744882905003,-16.889377076509493,0.01
-16.70174512620683,-18.81335722216999,0.01
-9.284312935673992,-17.714090827169994,0.01
-9.208782254949988,-16.923326239207583,0.01
-2.772847860973246,-41.634211361450674,0.01
-4.647899124875923,-5.115070858889998,0.01
-15.382518026333333,-18.278321575791743,0.01
-12.322011539179563,-10.950115853508152,0.01
-16.694934911509492,-20.273987360973248,0.01
-1.7433922005000007,-22.3091164060995,0.01
-7.527046681369724,-23.706647415450007,0.01
-14.731232958724494,-24.426913967888332,0.01
-10.158782254949987,-19.874841427225252,0.01
-24.484808836934242,-40.19784668178658,0.01
-35.58141729492593,-26.331777309666375,0.01
-10.92148795976276,-22.572986889612423,0.01
-23.360017992699145,-15.207883214730748,0.01
-9.365228653198052,-16.75467719435442,0.01
-5.912147682405001,-13.80747583616742,0.01
-10.591973176484998,-27.4448251146645,0.01
-10.237329025771265,-7.10097250990499,0.01
-26.408676421948496,-19.213946139684317,0.01
-13.385204831459479,-11.922952179979482,0.01
-7.174453500000002,-33.62237722065075,0.01
-25.88058851259892,-10.944923541241499,0.01
-9.952582075845658,-34.11772258498333,0.01
-9.841500000000002,-29.61366579492593,0.01
-7.5912361719582435,-6.70631305646047,0.01
-14.175425858836496,-12.912302039425924,0.01
-18.281955150229262,-41.22518585768826,0.01
-19.112551783667385,-11.511399231572744,0.01
-24.457143568009496,-10.099519859164502,0.01
-29.738617665664506,-22.732488879412827,0.01
-4.777088339614503,-38.97222835430975,0.01
-18.26754430243799,-18.273158192286832,0.01
-13.337912065433333,-11.042763262992821,0.01
-4.358028962670073,-24.90307013397425,0.01
-3.527223929479481,-34.0820061842728,0.01
-11.077472184600001,-38.94406614415898,0.01
-6.211049151521914,-13.174553342878248,0.01
-12.498705000000003,-33.580750127405004,0.01
-12.281311077493505,-19.944514831025746,0.01
-8.483285726509493,-11.876789622748053,0.01
-16.504597443801828,-16.05304969092325,0.01
-22.421503459762757,-24.04378799927923,0.01
-12.15,-17.576835953315918,0.01
-10.007375961379502,-21.05741881206398,0.01
-14.064882914164503,-22.68210437247299,0.01
0.0,-16.613210642334487,0.01
-9.70386952945499,-31.82688302647875,0.01
-34.75379789417159,-21.4223001553325,0.01
