sol,t,r
AdaOPS,0.31622776601683794,-6.796199940447029
AdaOPS,0.03162277660168379,-12.09439716602772
AdaOPS,0.31622776601683794,-5.369750626534104
AdaOPS,0.31622776601683794,-12.09439716602772
AdaOPS,0.1,-6.796199940447029
AdaOPS,0.1,-16.144635303046886
AdaOPS,0.5623413251903491,-11.240329269836812
AdaOPS,0.1,-11.67831280634497
AdaOPS,0.1,-15.017498480371765
AdaOPS,0.03162277660168379,-16.694506692949826
AdaOPS,0.03162277660168379,-9.783151211356543
AdaOPS,0.5623413251903491,-4.599737501614848
AdaOPS,0.31622776601683794,-12.09439716602772
AdaOPS,0.01,-9.783151211356543
AdaOPS,0.01778279410038923,-16.85978135830233
AdaOPS,0.5623413251903491,-16.520533360999817
AdaOPS,0.1,-8.083570446253443
AdaOPS,0.01,-4.599737501614848
AdaOPS,0.31622776601683794,-0.09738706132812691
AdaOPS,0.01,-16.337403537894545
AdaOPS,0.17782794100389226,-5.369750626534104
AdaOPS,0.056234132519034905,-12.489677307726334
AdaOPS,0.056234132519034905,-8.67939192394077
AdaOPS,0.01778279410038923,0.9501188828124985
AdaOPS,0.056234132519034905,-11.67831280634497
AdaOPS,0.056234132519034905,-15.017498480371765
AdaOPS,0.01778279410038923,-15.266623556353178
AdaOPS,0.056234132519034905,-11.240329269836812
AdaOPS,0.1,-15.017498480371765
AdaOPS,0.17782794100389226,-2.935997231706203
AdaOPS,0.1,-9.783151211356543
AdaOPS,1.0,-11.240329269836812
AdaOPS,0.01,-9.783151211356543
AdaOPS,0.056234132519034905,-6.796199940447029
AdaOPS,0.056234132519034905,-6.796199940447029
AdaOPS,1.0,-9.245422327743729
AdaOPS,0.31622776601683794,-4.599737501614848
AdaOPS,0.01778279410038923,-18.461100494465715
AdaOPS,0.01778279410038923,-7.456389943424676
AdaOPS,0.056234132519034905,-8.67939192394077
AdaOPS,1.0,-4.599737501614848
AdaOPS,0.03162277660168379,-9.245422327743729
AdaOPS,1.0,-2.0378918228486356
AdaOPS,0.1,-15.728127759608743
AdaOPS,0.5623413251903491,-10.779293968249277
AdaOPS,0.056234132519034905,-10.779293968249277
AdaOPS,0.31622776601683794,-2.0378918228486356
AdaOPS,0.01,-4.599737501614848
AdaOPS,0.17782794100389226,-11.67831280634497
AdaOPS,0.056234132519034905,-17.44227228997073
AdaOPS,0.01778279410038923,-16.694506692949826
AdaOPS,0.17782794100389226,-8.67939192394077
AdaOPS,0.31622776601683794,8.5
AdaOPS,0.01,-15.941721371628304
AdaOPS,1.0,-15.503292378535518
AdaOPS,0.056234132519034905,-7.456389943424676
AdaOPS,0.1,-9.783151211356543
