sol,t,r
POMCPOW,0.5623413251903491,-18.461100494465715
SparsePFT,0.056234132519034905,-18.461100494465715
POMCPOW,1.0,-18.461100494465715
POMCP,0.1,-15.503292378535518
POMCP,0.01778279410038923,-18.461100494465715
PFTDPW,1.0,-18.461100494465715
SparsePFT,0.03162277660168379,-18.461100494465715
SparsePFT,0.17782794100389226,-18.461100494465715
SparsePFT,0.1,-24.941721371628304
SparsePFT,0.5623413251903491,-11.67831280634497
SparsePFT,0.01,-18.461100494465715
SparsePFT,0.1,-24.50329237853552
POMCPOW,0.5623413251903491,-13.221933770223014
POMCPOW,0.5623413251903491,-18.461100494465715
POMCPOW,0.31622776601683794,-18.461100494465715
POMCP,0.01778279410038923,-17.570158675472197
PFTDPW,0.056234132519034905,-18.461100494465715
POMCPOW,0.1,-16.85978135830233
POMCPOW,0.01,-18.461100494465715
PFTDPW,0.17782794100389226,-18.461100494465715
PFTDPW,1.0,-18.461100494465715
POMCP,0.03162277660168379,-18.461100494465715
PFTDPW,0.01,-18.461100494465715
SparsePFT,0.17782794100389226,-3.7891973701208936
SparsePFT,0.03162277660168379,-18.461100494465715
POMCP,0.056234132519034905,-18.461100494465715
PFTDPW,0.01,-18.461100494465715
SparsePFT,0.01778279410038923,-18.461100494465715
SparsePFT,0.01778279410038923,-18.461100494465715
PFTDPW,1.0,-18.461100494465715
POMCP,0.5623413251903491,-18.461100494465715
POMCP,0.03162277660168379,0.9501188828124985
POMCPOW,0.1,-18.461100494465715
PFTDPW,1.0,-12.09439716602772
POMCPOW,0.5623413251903491,-18.461100494465715
PFTDPW,0.5623413251903491,-18.461100494465715
POMCPOW,0.03162277660168379,-18.461100494465715
PFTDPW,0.17782794100389226,-18.461100494465715
POMCPOW,0.31622776601683794,-0.09738706132812691
PFTDPW,0.01,-18.461100494465715
PFTDPW,0.03162277660168379,-18.461100494465715
PFTDPW,0.1,-2.935997231706203
POMCP,0.17782794100389226,-18.461100494465715
SparsePFT,0.17782794100389226,-18.461100494465715
PFTDPW,1.0,-18.461100494465715
SparsePFT,0.03162277660168379,-18.461100494465715
SparsePFT,0.1,-18.461100494465715
PFTDPW,0.31622776601683794,-18.461100494465715
PFTDPW,0.056234132519034905,-18.461100494465715
SparsePFT,0.03162277660168379,-18.461100494465715
PFTDPW,1.0,-18.461100494465715
POMCPOW,0.056234132519034905,-8.083570446253443
POMCP,0.1,-18.461100494465715
POMCPOW,0.03162277660168379,-14.188655466244956
POMCPOW,0.01,-17.44227228997073
PFTDPW,0.056234132519034905,-18.461100494465715
POMCP,0.01778279410038923,-8.083570446253443
PFTDPW,0.01778279410038923,-27.461100494465715
PFTDPW,0.17782794100389226,-2.0378918228486356
POMCP,0.03162277660168379,-14.75526155828607
SparsePFT,1.0,-18.461100494465715
PFTDPW,0.5623413251903491,-18.461100494465715
POMCPOW,0.5623413251903491,-18.461100494465715
POMCPOW,0.01,-18.461100494465715
SparsePFT,0.01,-18.461100494465715
POMCP,0.03162277660168379,-18.461100494465715
SparsePFT,0.03162277660168379,-18.461100494465715
POMCPOW,1.0,-18.461100494465715
POMCPOW,0.1,-15.728127759608743
SparsePFT,0.01778279410038923,-18.461100494465715
POMCPOW,0.17782794100389226,-18.461100494465715
POMCP,0.01778279410038923,-18.461100494465715
POMCPOW,0.01778279410038923,-18.461100494465715
SparsePFT,0.03162277660168379,-18.461100494465715
POMCP,0.03162277660168379,-18.461100494465715
POMCPOW,0.1,-18.461100494465715
SparsePFT,0.1,-18.461100494465715
SparsePFT,0.03162277660168379,-18.461100494465715
PFTDPW,1.0,-17.16595267586785
SparsePFT,1.0,-18.461100494465715
SparsePFT,0.17782794100389226,-15.266623556353178
SparsePFT,0.056234132519034905,-18.461100494465715
SparsePFT,1.0,-6.796199940447029
PFTDPW,1.0,-18.461100494465715
PFTDPW,0.03162277660168379,0.9501188828124985
PFTDPW,1.0,-18.461100494465715
POMCP,0.01778279410038923,-1.0925177082617212
POMCP,0.01778279410038923,-18.461100494465715
POMCP,0.17782794100389226,-18.461100494465715
SparsePFT,0.31622776601683794,-18.461100494465715
SparsePFT,0.31622776601683794,-16.694506692949826
PFTDPW,0.1,-18.461100494465715
POMCP,0.056234132519034905,-18.461100494465715
POMCP,0.5623413251903491,-18.461100494465715
POMCP,0.31622776601683794,-18.461100494465715
PFTDPW,0.31622776601683794,0.9501188828124985
POMCPOW,0.01,8.5
PFTDPW,0.03162277660168379,-9.245422327743729
POMCPOW,0.31622776601683794,-21.489677307726335
POMCP,0.01,-18.461100494465715
POMCP,0.5623413251903491,-18.461100494465715
