sol,t,r
POMCP,0.056234132519034905,-18.461100494465715
POMCPOW,0.17782794100389226,-18.461100494465715
POMCP,0.056234132519034905,-6.796199940447029
POMCPOW,0.01778279410038923,-18.461100494465715
POMCPOW,0.5623413251903491,-18.461100494465715
SparsePFT,1.0,-18.461100494465715
POMCPOW,1.0,-18.461100494465715
PFTDPW,0.01778279410038923,-18.461100494465715
PFTDPW,1.0,-18.461100494465715
PFTDPW,0.5623413251903491,-16.694506692949826
POMCPOW,0.01,-18.461100494465715
POMCP,0.1,-12.09439716602772
POMCPOW,0.01,-18.461100494465715
SparsePFT,0.056234132519034905,-18.461100494465715
SparsePFT,1.0,-18.461100494465715
SparsePFT,0.056234132519034905,-18.461100494465715
PFTDPW,0.1,-18.461100494465715
PFTDPW,0.5623413251903491,-17.44227228997073
PFTDPW,0.31622776601683794,-18.461100494465715
POMCPOW,1.0,-18.461100494465715
POMCPOW,0.5623413251903491,-18.461100494465715
SparsePFT,0.5623413251903491,-11.240329269836812
POMCPOW,0.03162277660168379,-14.75526155828607
SparsePFT,0.17782794100389226,-18.461100494465715
SparsePFT,0.01778279410038923,-18.461100494465715
POMCPOW,0.03162277660168379,-16.85978135830233
SparsePFT,0.17782794100389226,-18.461100494465715
PFTDPW,0.1,-18.461100494465715
PFTDPW,1.0,-18.461100494465715
POMCP,0.01778279410038923,-18.461100494465715
POMCP,0.5623413251903491,-18.461100494465715
PFTDPW,1.0,-17.016792290387215
POMCP,0.5623413251903491,-18.461100494465715
POMCP,0.01778279410038923,-18.461100494465715
POMCP,0.5623413251903491,-8.67939192394077
POMCPOW,0.5623413251903491,-27.461100494465715
SparsePFT,0.056234132519034905,-8.67939192394077
PFTDPW,0.03162277660168379,-18.461100494465715
POMCP,0.01778279410038923,-13.221933770223014
POMCP,0.03162277660168379,-18.461100494465715
SparsePFT,1.0,-18.461100494465715
POMCP,1.0,-16.520533360999817
PFTDPW,0.17782794100389226,3.213428124999999
POMCP,0.17782794100389226,-18.461100494465715
POMCP,0.17782794100389226,-11.240329269836812
PFTDPW,1.0,-18.461100494465715
POMCP,0.01,-18.461100494465715
PFTDPW,0.01778279410038923,-18.461100494465715
PFTDPW,1.0,-5.369750626534104
PFTDPW,0.5623413251903491,-9.783151211356543
PFTDPW,0.31622776601683794,-18.461100494465715
POMCPOW,0.056234132519034905,-2.935997231706203
POMCPOW,0.1,-18.461100494465715
SparsePFT,0.17782794100389226,-15.941721371628304
SparsePFT,0.01,-18.461100494465715
POMCP,0.1,-18.461100494465715
PFTDPW,0.31622776601683794,-17.570158675472197
SparsePFT,0.056234132519034905,-15.941721371628304
SparsePFT,0.056234132519034905,-18.461100494465715
POMCP,0.5623413251903491,-18.461100494465715
SparsePFT,0.03162277660168379,-18.461100494465715
POMCPOW,0.1,-18.461100494465715
PFTDPW,0.1,-18.461100494465715
POMCP,0.03162277660168379,-18.461100494465715
POMCPOW,0.01,-18.461100494465715
PFTDPW,0.17782794100389226,-18.461100494465715
PFTDPW,0.1,-6.796199940447029
POMCP,0.01,-18.461100494465715
POMCP,0.5623413251903491,-17.307655042074458
POMCP,0.17782794100389226,-16.85978135830233
SparsePFT,0.01,-18.461100494465715
PFTDPW,0.1,-18.461100494465715
SparsePFT,0.5623413251903491,-18.461100494465715
SparsePFT,0.03162277660168379,-14.75526155828607
SparsePFT,0.056234132519034905,-13.221933770223014
SparsePFT,0.01778279410038923,-18.461100494465715
POMCP,0.01,-18.461100494465715
PFTDPW,1.0,-17.570158675472197
PFTDPW,0.1,-15.017498480371765
POMCPOW,0.1,-27.461100494465715
POMCP,0.5623413251903491,-18.461100494465715
SparsePFT,0.03162277660168379,-18.461100494465715
SparsePFT,0.17782794100389226,-18.461100494465715
PFTDPW,0.01,-18.461100494465715
POMCP,0.5623413251903491,-18.461100494465715
POMCP,1.0,-17.44227228997073
PFTDPW,0.1,-18.461100494465715
PFTDPW,0.31622776601683794,-17.307655042074458
PFTDPW,0.056234132519034905,-18.461100494465715
PFTDPW,0.5623413251903491,-8.0498811171875
PFTDPW,0.056234132519034905,-17.16595267586785
POMCPOW,0.1,-18.461100494465715
PFTDPW,0.17782794100389226,-18.461100494465715
PFTDPW,0.03162277660168379,-12.09439716602772
SparsePFT,0.01,-10.779293968249277
POMCPOW,0.31622776601683794,-18.461100494465715
POMCP,0.5623413251903491,-18.461100494465715
SparsePFT,0.01,-18.461100494465715
SparsePFT,0.17782794100389226,-12.09439716602772
POMCPOW,0.056234132519034905,-9.783151211356543
PFTDPW,0.5623413251903491,-14.479222692932707
POMCP,0.01778279410038923,-16.85978135830233
POMCP,0.5623413251903491,-18.461100494465715
PFTDPW,1.0,-15.017498480371765
SparsePFT,0.31622776601683794,-18.461100494465715
PFTDPW,0.17782794100389226,-18.461100494465715
PFTDPW,0.03162277660168379,-18.461100494465715
POMCPOW,0.03162277660168379,-18.461100494465715
POMCPOW,0.17782794100389226,-12.489677307726334
SparsePFT,0.5623413251903491,-18.461100494465715
POMCP,0.17782794100389226,-18.461100494465715
PFTDPW,0.31622776601683794,-18.461100494465715
PFTDPW,0.17782794100389226,-18.461100494465715
POMCPOW,0.03162277660168379,-18.461100494465715
POMCPOW,1.0,-18.461100494465715
POMCPOW,0.31622776601683794,-18.461100494465715
POMCPOW,0.01,-18.461100494465715
PFTDPW,0.5623413251903491,-15.503292378535518
POMCP,0.01778279410038923,-18.461100494465715
POMCP,0.1,-18.461100494465715
SparsePFT,0.01778279410038923,-13.560837081711863
POMCPOW,0.1,-18.461100494465715
POMCPOW,0.03162277660168379,-18.461100494465715
PFTDPW,0.5623413251903491,-18.461100494465715
SparsePFT,1.0,-7.456389943424676
SparsePFT,0.5623413251903491,-18.461100494465715
PFTDPW,1.0,-13.221933770223014
PFTDPW,0.056234132519034905,-18.461100494465715
POMCPOW,0.5623413251903491,-18.461100494465715
SparsePFT,0.1,-15.728127759608743
POMCP,0.056234132519034905,-15.017498480371765
SparsePFT,0.5623413251903491,-18.461100494465715
POMCP,0.5623413251903491,-18.461100494465715
SparsePFT,0.01778279410038923,-18.461100494465715
SparsePFT,0.17782794100389226,-18.461100494465715
SparsePFT,0.31622776601683794,-16.694506692949826
POMCPOW,0.01778279410038923,4.435187499999998
POMCPOW,0.03162277660168379,-18.461100494465715
POMCPOW,0.03162277660168379,-27.461100494465715
SparsePFT,0.03162277660168379,-18.461100494465715
PFTDPW,0.01778279410038923,-18.461100494465715
PFTDPW,0.01,-18.461100494465715
POMCPOW,0.1,-18.461100494465715
POMCP,0.5623413251903491,-18.461100494465715
PFTDPW,0.01,-18.461100494465715
SparsePFT,1.0,-18.461100494465715
PFTDPW,0.056234132519034905,-18.461100494465715
POMCP,0.03162277660168379,-18.461100494465715
SparsePFT,0.056234132519034905,-18.461100494465715
POMCPOW,0.03162277660168379,-18.461100494465715
POMCPOW,0.01,-18.461100494465715
POMCP,0.056234132519034905,-7.456389943424676
POMCP,0.1,-18.461100494465715
SparsePFT,0.01,-17.44227228997073
SparsePFT,0.01,-18.461100494465715
SparsePFT,0.03162277660168379,-12.09439716602772
POMCP,0.03162277660168379,5.721249999999999
POMCP,0.01778279410038923,4.435187499999998
POMCP,0.5623413251903491,-15.941721371628304
PFTDPW,0.01,-9.245422327743729
PFTDPW,0.31622776601683794,-4.599737501614848
SparsePFT,0.01778279410038923,-18.461100494465715
PFTDPW,0.5623413251903491,-16.144635303046886
PFTDPW,0.31622776601683794,-18.461100494465715
POMCPOW,0.03162277660168379,-18.461100494465715
SparsePFT,0.31622776601683794,-18.461100494465715
SparsePFT,0.5623413251903491,-18.461100494465715
PFTDPW,0.056234132519034905,-18.461100494465715
SparsePFT,0.17782794100389226,-18.461100494465715
POMCP,0.5623413251903491,-15.266623556353178
POMCP,0.056234132519034905,-18.461100494465715
SparsePFT,0.056234132519034905,-18.461100494465715
POMCP,0.01778279410038923,-6.796199940447029
PFTDPW,0.5623413251903491,-17.44227228997073
POMCPOW,0.03162277660168379,-18.461100494465715
POMCPOW,0.5623413251903491,-18.461100494465715
PFTDPW,0.03162277660168379,-3.7891973701208936
POMCPOW,0.01778279410038923,-18.461100494465715
SparsePFT,0.03162277660168379,-18.461100494465715
POMCP,0.03162277660168379,-18.461100494465715
PFTDPW,0.056234132519034905,-18.461100494465715
SparsePFT,0.5623413251903491,-18.461100494465715
POMCPOW,0.17782794100389226,-18.461100494465715
PFTDPW,0.31622776601683794,7.075
POMCPOW,0.056234132519034905,-17.44227228997073
PFTDPW,0.5623413251903491,-18.461100494465715
POMCPOW,1.0,-18.461100494465715
POMCPOW,0.01,-18.461100494465715
POMCP,0.01778279410038923,-18.461100494465715
PFTDPW,0.056234132519034905,-18.461100494465715
POMCP,0.31622776601683794,-18.461100494465715
POMCPOW,0.03162277660168379,-18.461100494465715
SparsePFT,0.01778279410038923,-18.461100494465715
POMCPOW,1.0,-18.461100494465715
POMCP,0.056234132519034905,-10.293993650788714
POMCPOW,0.056234132519034905,-7.456389943424676
SparsePFT,0.5623413251903491,-18.461100494465715
PFTDPW,0.17782794100389226,-16.337403537894545
POMCPOW,0.1,-18.461100494465715
POMCP,0.17782794100389226,-17.307655042074458
POMCPOW,0.1,-22.560837081711867
SparsePFT,0.5623413251903491,-8.67939192394077
PFTDPW,0.01778279410038923,-15.017498480371765
PFTDPW,0.17782794100389226,-18.461100494465715
POMCP,0.01,-18.461100494465715
PFTDPW,0.056234132519034905,-17.44227228997073
POMCPOW,0.03162277660168379,-18.461100494465715
POMCPOW,0.03162277660168379,-18.461100494465715
POMCP,1.0,-8.083570446253443
POMCPOW,0.31622776601683794,-18.461100494465715
PFTDPW,0.5623413251903491,-16.85978135830233
SparsePFT,0.17782794100389226,-18.461100494465715
POMCPOW,0.17782794100389226,-18.461100494465715
PFTDPW,0.03162277660168379,-18.461100494465715
PFTDPW,0.056234132519034905,-18.461100494465715
POMCP,0.056234132519034905,-15.728127759608743
POMCPOW,0.1,-17.44227228997073
SparsePFT,0.056234132519034905,-18.461100494465715
SparsePFT,0.056234132519034905,-18.461100494465715
POMCPOW,0.1,-18.461100494465715
PFTDPW,0.31622776601683794,-18.461100494465715
PFTDPW,0.056234132519034905,-18.461100494465715
SparsePFT,0.01778279410038923,-18.461100494465715
PFTDPW,0.1,-18.461100494465715
POMCPOW,0.31622776601683794,-18.461100494465715
POMCPOW,0.1,-18.461100494465715
SparsePFT,0.5623413251903491,-6.796199940447029
SparsePFT,0.17782794100389226,-9.783151211356543
POMCP,0.5623413251903491,-1.0925177082617212
POMCP,0.01,-18.461100494465715
PFTDPW,0.03162277660168379,-18.461100494465715
POMCP,1.0,-17.570158675472197
SparsePFT,0.056234132519034905,-24.50329237853552
POMCP,0.01,-13.221933770223014
POMCPOW,1.0,-18.461100494465715
SparsePFT,0.1,-18.461100494465715
POMCPOW,0.31622776601683794,-3.7891973701208936
PFTDPW,0.056234132519034905,-18.461100494465715
POMCPOW,0.17782794100389226,-18.461100494465715
SparsePFT,0.17782794100389226,-13.560837081711863
SparsePFT,0.01,-18.461100494465715
POMCP,1.0,-18.461100494465715
SparsePFT,0.01778279410038923,-18.461100494465715
POMCPOW,0.01778279410038923,-18.461100494465715
POMCP,0.056234132519034905,-18.461100494465715
SparsePFT,1.0,-8.083570446253443
PFTDPW,0.17782794100389226,-16.520533360999817
POMCPOW,0.31622776601683794,-18.461100494465715
POMCPOW,0.03162277660168379,-18.461100494465715
POMCPOW,0.03162277660168379,-18.461100494465715
PFTDPW,0.5623413251903491,-18.461100494465715
POMCP,0.31622776601683794,-18.461100494465715
SparsePFT,0.01778279410038923,-18.461100494465715
POMCP,0.1,-18.461100494465715
POMCPOW,0.01778279410038923,-5.369750626534104
PFTDPW,0.01778279410038923,-18.461100494465715
PFTDPW,1.0,-2.935997231706203
POMCPOW,1.0,-6.796199940447029
PFTDPW,0.17782794100389226,-12.09439716602772
SparsePFT,0.01,-2.0378918228486356
POMCP,0.01778279410038923,-26.177475494465714
PFTDPW,0.03162277660168379,-11.67831280634497
POMCP,0.056234132519034905,-18.461100494465715
PFTDPW,0.03162277660168379,-18.461100494465715
POMCPOW,0.03162277660168379,-11.67831280634497
SparsePFT,0.056234132519034905,-13.221933770223014
POMCPOW,0.01,-18.461100494465715
POMCPOW,0.01778279410038923,-18.461100494465715
POMCP,0.01,-18.461100494465715
SparsePFT,0.056234132519034905,-18.461100494465715
SparsePFT,0.01778279410038923,-18.461100494465715
POMCP,1.0,0.9501188828124985
PFTDPW,1.0,-18.461100494465715
PFTDPW,0.056234132519034905,-17.44227228997073
SparsePFT,0.17782794100389226,-18.461100494465715
POMCPOW,0.01778279410038923,-18.461100494465715
SparsePFT,0.1,-18.461100494465715
POMCPOW,1.0,-27.461100494465715
POMCP,0.01778279410038923,-18.461100494465715
SparsePFT,0.01,-18.461100494465715
SparsePFT,0.056234132519034905,-18.461100494465715
POMCPOW,0.1,-18.461100494465715
SparsePFT,0.03162277660168379,-18.461100494465715
POMCPOW,0.01,-18.461100494465715
POMCP,0.31622776601683794,-18.461100494465715
SparsePFT,0.31622776601683794,-18.461100494465715
PFTDPW,0.17782794100389226,-15.728127759608743
POMCP,0.5623413251903491,-5.369750626534104
SparsePFT,0.03162277660168379,-18.461100494465715
POMCPOW,0.03162277660168379,-18.461100494465715
POMCP,0.03162277660168379,-18.461100494465715
POMCP,0.17782794100389226,-18.461100494465715
POMCP,0.1,-18.461100494465715
POMCPOW,0.5623413251903491,-27.461100494465715
POMCP,1.0,-16.337403537894545
POMCP,0.056234132519034905,-18.461100494465715
PFTDPW,1.0,8.5
SparsePFT,0.01,-18.461100494465715
POMCP,0.5623413251903491,-10.779293968249277
POMCPOW,0.31622776601683794,-18.461100494465715
POMCPOW,0.17782794100389226,-27.461100494465715
POMCPOW,0.03162277660168379,-18.461100494465715
SparsePFT,0.5623413251903491,-18.461100494465715
POMCP,1.0,-6.1012630952074
SparsePFT,0.31622776601683794,-15.266623556353178
POMCPOW,0.17782794100389226,-18.461100494465715
PFTDPW,0.03162277660168379,-18.461100494465715
SparsePFT,1.0,-12.489677307726334
POMCP,0.056234132519034905,-3.7891973701208936
SparsePFT,0.056234132519034905,-18.461100494465715
POMCP,0.1,-18.461100494465715
POMCPOW,1.0,-18.461100494465715
PFTDPW,1.0,-6.1012630952074
SparsePFT,0.31622776601683794,-16.85978135830233
POMCPOW,1.0,-27.461100494465715
POMCPOW,0.17782794100389226,-18.461100494465715
SparsePFT,0.056234132519034905,-18.461100494465715
POMCPOW,0.01778279410038923,-15.017498480371765
POMCP,0.17782794100389226,-18.461100494465715
POMCPOW,0.31622776601683794,-18.461100494465715
POMCP,0.056234132519034905,-18.461100494465715
POMCP,0.056234132519034905,-2.0378918228486356
POMCP,1.0,-18.461100494465715
PFTDPW,0.03162277660168379,-18.461100494465715
PFTDPW,0.03162277660168379,-17.570158675472197
POMCPOW,0.056234132519034905,-18.461100494465715
SparsePFT,0.1,-18.461100494465715
PFTDPW,0.1,-6.796199940447029
PFTDPW,0.5623413251903491,0.9501188828124985
SparsePFT,1.0,-18.461100494465715
PFTDPW,0.5623413251903491,-8.083570446253443
PFTDPW,0.5623413251903491,-18.461100494465715
POMCP,0.01778279410038923,-18.461100494465715
SparsePFT,0.01,-18.461100494465715
POMCP,0.17782794100389226,-14.75526155828607
SparsePFT,0.01,-17.44227228997073
PFTDPW,0.31622776601683794,-18.461100494465715
PFTDPW,0.31622776601683794,-15.266623556353178
SparsePFT,0.31622776601683794,-24.941721371628304
SparsePFT,0.5623413251903491,-15.266623556353178
POMCPOW,0.5623413251903491,-18.461100494465715
POMCPOW,0.1,-17.44227228997073
PFTDPW,0.03162277660168379,-18.461100494465715
PFTDPW,0.5623413251903491,-5.369750626534104
SparsePFT,1.0,-18.461100494465715
PFTDPW,0.31622776601683794,-18.461100494465715
PFTDPW,0.03162277660168379,-18.461100494465715
POMCP,0.5623413251903491,-18.461100494465715
POMCP,0.01778279410038923,-16.520533360999817
POMCP,0.056234132519034905,-18.461100494465715
PFTDPW,0.1,-18.461100494465715
POMCPOW,0.1,-18.461100494465715
POMCPOW,1.0,-18.461100494465715
PFTDPW,0.01,-18.461100494465715
POMCPOW,0.31622776601683794,-18.461100494465715
PFTDPW,1.0,-15.266623556353178
SparsePFT,0.1,-18.461100494465715
SparsePFT,0.01,-18.461100494465715
SparsePFT,0.01778279410038923,-1.0925177082617212
POMCPOW,0.01778279410038923,-27.461100494465715
POMCPOW,0.17782794100389226,-18.461100494465715
PFTDPW,0.17782794100389226,-18.461100494465715
POMCP,1.0,-18.461100494465715
POMCPOW,0.03162277660168379,8.5
POMCP,0.056234132519034905,0.9501188828124985
SparsePFT,0.1,-18.461100494465715
POMCPOW,0.03162277660168379,-18.461100494465715
POMCPOW,0.03162277660168379,-18.461100494465715
POMCP,0.01778279410038923,-18.461100494465715
POMCPOW,0.1,-16.694506692949826
POMCP,0.5623413251903491,-14.479222692932707
SparsePFT,0.056234132519034905,-18.461100494465715
SparsePFT,1.0,-12.489677307726334
PFTDPW,0.03162277660168379,-14.479222692932707
SparsePFT,0.03162277660168379,-18.461100494465715
PFTDPW,0.03162277660168379,-12.489677307726334
SparsePFT,0.01,-17.16595267586785
SparsePFT,1.0,-13.560837081711863
PFTDPW,0.01,-18.461100494465715
POMCP,0.03162277660168379,-18.461100494465715
POMCP,0.01778279410038923,-18.461100494465715
PFTDPW,0.1,-18.461100494465715
SparsePFT,0.03162277660168379,-9.783151211356543
POMCP,0.056234132519034905,-17.016792290387215
PFTDPW,0.01778279410038923,0.9501188828124985
POMCP,0.17782794100389226,-18.461100494465715
SparsePFT,0.31622776601683794,-18.461100494465715
POMCPOW,0.056234132519034905,-18.461100494465715
SparsePFT,0.01778279410038923,-18.461100494465715
POMCPOW,0.1,-16.85978135830233
PFTDPW,0.056234132519034905,-18.461100494465715
SparsePFT,0.31622776601683794,-18.461100494465715
PFTDPW,0.31622776601683794,-12.09439716602772
POMCPOW,1.0,-18.461100494465715
SparsePFT,0.03162277660168379,-18.461100494465715
SparsePFT,0.17782794100389226,-7.456389943424676
POMCPOW,0.31622776601683794,-18.461100494465715
POMCPOW,0.03162277660168379,-1.0925177082617212
SparsePFT,0.31622776601683794,0.9501188828124985
SparsePFT,0.5623413251903491,-15.017498480371765
PFTDPW,0.01,-18.461100494465715
SparsePFT,0.03162277660168379,-18.461100494465715
SparsePFT,0.056234132519034905,-18.461100494465715
POMCP,0.17782794100389226,-18.461100494465715
PFTDPW,0.03162277660168379,-18.461100494465715
POMCPOW,0.03162277660168379,-18.461100494465715
POMCPOW,0.31622776601683794,-18.461100494465715
PFTDPW,0.03162277660168379,-14.75526155828607
PFTDPW,1.0,-6.1012630952074
SparsePFT,0.31622776601683794,-18.461100494465715
SparsePFT,0.01778279410038923,-2.0378918228486356
POMCPOW,0.31622776601683794,-13.221933770223014
PFTDPW,0.056234132519034905,-18.461100494465715
POMCPOW,1.0,-4.599737501614848
SparsePFT,0.056234132519034905,-14.188655466244956
PFTDPW,1.0,-18.461100494465715
SparsePFT,0.01778279410038923,-18.461100494465715
PFTDPW,0.056234132519034905,-13.221933770223014
POMCP,0.17782794100389226,-18.461100494465715
PFTDPW,0.5623413251903491,-18.461100494465715
PFTDPW,0.01,-18.461100494465715
POMCPOW,0.01,-18.461100494465715
POMCP,1.0,-18.461100494465715
POMCPOW,0.17782794100389226,-18.461100494465715
POMCPOW,0.1,-16.520533360999817
