sol,t,r
POMCPOW,0.01,63.80047553124997
SparsePFT,0.17782794100389226,55.6299291669531
SparsePFT,0.1,48.25601107317516
POMCP,0.31622776601683794,-81.902475
POMCPOW,0.5623413251903491,72.85371249999999
PFTDPW,0.01778279410038923,44.8432105195164
POMCP,0.01778279410038923,-78.80735124999998
POMCPOW,0.17782794100389226,-73.07363450312498
POMCPOW,0.01778279410038923,68.21102687499999
POMCP,0.17782794100389226,55.6299291669531
POMCP,0.31622776601683794,72.85371249999999
SparsePFT,0.5623413251903491,82.88499999999998
SparsePFT,1.0,68.21102687499999
PFTDPW,1.0,48.25601107317516
SparsePFT,0.5623413251903491,-81.902475
PFTDPW,0.5623413251903491,-67.89895513907028
PFTDPW,0.1,48.25601107317516
PFTDPW,0.31622776601683794,44.8432105195164
POMCP,0.03162277660168379,68.21102687499999
POMCP,0.056234132519034905,68.21102687499999
POMCP,0.31622776601683794,-73.07363450312498
SparsePFT,0.1,51.848432708605436
POMCP,0.01778279410038923,-65.50400738211675
POMCP,1.0,55.6299291669531
POMCPOW,1.0,51.848432708605436
PFTDPW,0.03162277660168379,72.85371249999999
POMCP,0.1,51.848432708605436
PFTDPW,0.01,-88.58999999999999
SparsePFT,0.01778279410038923,59.610451754687475
PFTDPW,0.056234132519034905,51.848432708605436
SparsePFT,0.01778279410038923,38.52099749386355
PFTDPW,0.056234132519034905,68.21102687499999
PFTDPW,0.03162277660168379,82.88499999999998
POMCPOW,0.01,59.610451754687475
POMCPOW,0.1,55.6299291669531
POMCPOW,0.31622776601683794,55.6299291669531
SparsePFT,0.1,72.85371249999999
PFTDPW,0.01,-73.07363450312498
POMCP,1.0,-70.41995277796872
SparsePFT,0.5623413251903491,68.21102687499999
PFTDPW,0.17782794100389226,72.85371249999999
SparsePFT,0.5623413251903491,-75.86698368749997
POMCPOW,0.1,82.88499999999998
PFTDPW,0.5623413251903491,51.848432708605436
SparsePFT,1.0,63.80047553124997
SparsePFT,0.1,-59.01399832924234
SparsePFT,0.056234132519034905,51.848432708605436
POMCP,0.17782794100389226,-70.41995277796872
POMCPOW,0.03162277660168379,-73.07363450312498
POMCPOW,0.31622776601683794,77.74074999999999
SparsePFT,0.056234132519034905,-85.16049999999998
PFTDPW,0.01778279410038923,51.848432708605436
SparsePFT,0.17782794100389226,63.80047553124997
SparsePFT,0.03162277660168379,63.80047553124997
PFTDPW,0.056234132519034905,55.6299291669531
PFTDPW,0.5623413251903491,-78.80735124999998
POMCP,0.17782794100389226,44.8432105195164
POMCPOW,0.03162277660168379,77.74074999999999
PFTDPW,1.0,59.610451754687475
