sol,t,r
PFTDPW,0.056234132519034905,17.262637988848493
POMCPOW,1.0,73.45387499999998
POMCPOW,0.5623413251903491,34.81434875915565
POMCPOW,0.056234132519034905,-12.283747438331297
PFTDPW,1.0,38.130305370634105
POMCPOW,0.03162277660168379,15.653784603588655
POMCPOW,0.01778279410038923,34.845538040738546
SparsePFT,0.056234132519034905,-22.864165368981293
POMCPOW,0.03162277660168379,47.33593270860544
SparsePFT,0.01,10.757819985900024
SparsePFT,0.01778279410038923,-25.22927525036198
SparsePFT,0.17782794100389226,8.69818032363034
POMCPOW,0.1,-1.071036721546168
POMCPOW,0.1,35.20389533741823
PFTDPW,1.0,-10.576767308266316
POMCPOW,0.03162277660168379,-3.027594919859453
POMCPOW,0.01778279410038923,77.74074999999999
PFTDPW,0.31622776601683794,5.225496906431346
PFTDPW,0.5623413251903491,31.808092344981247
POMCPOW,0.01778279410038923,72.85371249999999
POMCPOW,1.0,29.511917472472717
POMCPOW,0.01778279410038923,0.18025070598615045
POMCPOW,1.0,16.387686310719918
SparsePFT,0.03162277660168379,-23.146480858038604
POMCPOW,1.0,7.472897595079711
PFTDPW,0.5623413251903491,-2.656156341098537
PFTDPW,0.056234132519034905,59.610451754687475
PFTDPW,0.01778279410038923,-22.167102884768457
POMCPOW,0.03162277660168379,45.41201061179286
PFTDPW,0.17782794100389226,-5.271343966482753
SparsePFT,0.03162277660168379,-19.501967457591565
PFTDPW,0.01,-2.646783191437361
SparsePFT,0.056234132519034905,9.12203932295667
POMCPOW,0.31622776601683794,-13.260763350209217
POMCPOW,0.1,5.880632187253656
POMCPOW,1.0,55.83814107812497
PFTDPW,0.5623413251903491,41.849525823324505
POMCPOW,0.03162277660168379,14.093256922786253
SparsePFT,0.01778279410038923,-20.900513328823088
PFTDPW,0.1,-27.171337519330706
POMCPOW,0.17782794100389226,35.65603890454257
PFTDPW,0.01778279410038923,30.558663040738548
SparsePFT,0.17782794100389226,-12.92033620850604
SparsePFT,1.0,13.696697957965497
PFTDPW,0.31622776601683794,-8.531593407292881
PFTDPW,0.1,68.21102687499999
POMCPOW,0.1,6.112631089406065
SparsePFT,0.01778279410038923,7.58029638391298
SparsePFT,0.01778279410038923,-25.482432379124162
POMCPOW,0.1,5.863638737173993
PFTDPW,0.01,-19.089596040850978
SparsePFT,0.01778279410038923,26.726042931670364
POMCPOW,0.1,-8.665373827260659
SparsePFT,0.31622776601683794,-16.548002966066854
POMCPOW,0.03162277660168379,39.29740961982091
SparsePFT,1.0,-18.420843672274984
PFTDPW,0.17782794100389226,-14.916751873208003
SparsePFT,0.31622776601683794,-20.24768574399105
SparsePFT,0.01778279410038923,33.607365297348686
PFTDPW,0.056234132519034905,-24.561226907412575
PFTDPW,0.01,-7.381219884736478
PFTDPW,0.03162277660168379,-15.201334150494446
POMCPOW,1.0,44.78221676241355
POMCPOW,0.056234132519034905,-8.183716011737562
POMCPOW,0.01778279410038923,11.692567953557436
PFTDPW,0.01778279410038923,21.803241572793954
SparsePFT,0.056234132519034905,7.221625758311163
POMCPOW,0.01,-16.015315133012063
POMCPOW,0.01,41.60104999354058
POMCPOW,1.0,34.179075628078216
SparsePFT,1.0,26.707786342558418
