sol,t,r
PFTDPW,0.01,55.6299291669531
PFTDPW,0.01,-78.80735124999998
PFTDPW,0.01,72.85371249999999
PFTDPW,0.01,77.74074999999999
PFTDPW,0.01,-78.80735124999998
PFTDPW,0.01,51.848432708605436
PFTDPW,0.01,63.80047553124997
PFTDPW,0.01,51.848432708605436
PFTDPW,0.01,82.88499999999998
PFTDPW,0.01,82.88499999999998
PFTDPW,0.01,63.80047553124997
PFTDPW,0.01,68.21102687499999
PFTDPW,0.01,63.80047553124997
PFTDPW,0.01,-88.58999999999999
PFTDPW,0.01,32.815200238211844
PFTDPW,0.01,63.80047553124997
PFTDPW,0.01,-75.86698368749997
PFTDPW,0.01,-75.86698368749997
PFTDPW,0.01,72.85371249999999
PFTDPW,0.01,68.21102687499999
PFTDPW,0.01,82.88499999999998
PFTDPW,0.01,51.848432708605436
PFTDPW,0.01,-78.80735124999998
PFTDPW,0.01,44.8432105195164
PFTDPW,0.01,-73.07363450312498
PFTDPW,0.01,-92.2
PFTDPW,0.01,-73.07363450312498
PFTDPW,0.01,-75.86698368749997
PFTDPW,0.01,63.80047553124997
PFTDPW,0.01,68.21102687499999
PFTDPW,0.01,72.85371249999999
PFTDPW,0.01,51.848432708605436
PFTDPW,0.01,48.25601107317516
PFTDPW,0.01,51.848432708605436
PFTDPW,0.01,-70.41995277796872
PFTDPW,0.01,55.6299291669531
PFTDPW,0.01,44.8432105195164
PFTDPW,0.01,55.6299291669531
PFTDPW,0.01,35.59494761917036
PFTDPW,0.01,55.6299291669531
PFTDPW,0.01,48.25601107317516
PFTDPW,0.01,41.60104999354058
PFTDPW,0.01,63.80047553124997
PFTDPW,0.01,55.6299291669531
PFTDPW,0.01,72.85371249999999
PFTDPW,0.01,72.85371249999999
PFTDPW,0.01,82.88499999999998
PFTDPW,0.01,55.6299291669531
PFTDPW,0.01,48.25601107317516
PFTDPW,0.01,72.85371249999999
PFTDPW,0.01,-88.58999999999999
PFTDPW,0.01,-81.902475
PFTDPW,0.01,68.21102687499999
PFTDPW,0.01,35.59494761917036
PFTDPW,0.01,51.848432708605436
PFTDPW,0.01,55.6299291669531
PFTDPW,0.01,63.80047553124997
PFTDPW,0.01,-81.902475
PFTDPW,0.01,59.610451754687475
PFTDPW,0.01,77.74074999999999
PFTDPW,0.01,-88.58999999999999
PFTDPW,0.01,68.21102687499999
PFTDPW,0.01,51.848432708605436
PFTDPW,0.01,59.610451754687475
PFTDPW,0.01,68.21102687499999
