sol,t,r
PFTDPW,0.17782794100389226,14.194512833662635
POMCPOW,0.1,31.702861136509174
POMCP,0.01,-61.80430900009779
POMCPOW,0.01778279410038923,55.09795175468748
POMCPOW,1.0,28.071206352425367
POMCP,0.01,-69.92148068974444
POMCP,0.01,-70.04768719937955
POMCPOW,0.5623413251903491,48.986995637861305
POMCP,0.01778279410038923,-74.67040044701132
POMCP,0.01,-60.46496995666266
SparsePFT,0.17782794100389226,28.5284914683716
POMCPOW,0.03162277660168379,26.02280607687644
SparsePFT,0.5623413251903491,-28.89669947375065
POMCP,0.5623413251903491,-61.54407126573464
SparsePFT,0.31622776601683794,37.97388856316981
SparsePFT,0.17782794100389226,-18.849161810376398
POMCP,0.01,-62.257685948703994
SparsePFT,0.056234132519034905,42.5205229169531
PFTDPW,0.17782794100389226,-22.813863247287482
POMCPOW,0.03162277660168379,23.15321821498619
PFTDPW,1.0,15.757863386085756
SparsePFT,0.01,-46.945856929973544
POMCP,0.03162277660168379,-81.71089523746083
PFTDPW,0.31622776601683794,4.6468255051655625
SparsePFT,0.17782794100389226,9.289640131070847
POMCPOW,0.5623413251903491,-25.98128079092368
POMCP,0.03162277660168379,-52.68907284042502
SparsePFT,0.1,68.3412125
POMCP,0.5623413251903491,-59.33486179600634
POMCPOW,0.01778279410038923,59.85162062499999
SparsePFT,0.17782794100389226,33.26976476741295
POMCPOW,0.01778279410038923,-37.342417113603524
POMCP,1.0,-28.6003656255594
PFTDPW,0.03162277660168379,67.85371249999999
SparsePFT,0.01778279410038923,-20.3824178773061
POMCPOW,0.01,-35.69997141630869
SparsePFT,0.01,50.542747187499984
PFTDPW,0.5623413251903491,-10.116373031767791
SparsePFT,0.31622776601683794,21.413527616736875
POMCP,0.17782794100389226,-57.56310061326965
POMCPOW,0.01778279410038923,16.25904606578162
POMCP,0.01778279410038923,-55.69334191368001
PFTDPW,0.31622776601683794,-2.0598155724466487
SparsePFT,0.01,13.130129191846372
POMCP,0.5623413251903491,-67.28948925006428
POMCP,0.17782794100389226,-63.723205356097544
POMCP,0.056234132519034905,-46.37534774695692
POMCPOW,0.03162277660168379,41.23585933705211
SparsePFT,0.01778279410038923,46.42249230156248
POMCPOW,0.03162277660168379,7.017393413424532
SparsePFT,1.0,3.713674405518592
PFTDPW,0.17782794100389226,47.97952802110544
SparsePFT,0.17782794100389226,31.522416369170365
SparsePFT,0.01,-17.444622200789404
PFTDPW,0.31622776601683794,3.4991809800737563
POMCP,0.17782794100389226,-56.39956263849147
POMCPOW,0.01,42.80358761406248
PFTDPW,0.056234132519034905,-38.80454134432346
POMCPOW,0.03162277660168379,-7.780123927170031
POMCP,1.0,-72.35046585715298
PFTDPW,0.5623413251903491,41.60104999354058
POMCPOW,1.0,5.905079720258097
PFTDPW,0.03162277660168379,22.870640646442308
POMCPOW,1.0,45.38008350353708
PFTDPW,0.31622776601683794,51.5573979169531
POMCP,0.01,-70.5079696855974
PFTDPW,0.31622776601683794,31.63366257119787
POMCP,0.01778279410038923,-72.05066111871874
POMCP,0.17782794100389226,-69.56098776183013
POMCP,0.03162277660168379,-66.68586677787634
PFTDPW,0.01,-52.345364962777154
SparsePFT,0.01778279410038923,-16.709573453999866
POMCPOW,0.056234132519034905,-21.92147601095807
POMCPOW,0.056234132519034905,-12.356174434530317
SparsePFT,0.31622776601683794,-7.27463391444244
POMCP,0.01,-73.35957689565812
POMCP,0.01778279410038923,-66.13017500252418
POMCPOW,1.0,-15.289953196818455
POMCPOW,0.01,11.73260460634544
PFTDPW,0.17782794100389226,-28.22500406934555
SparsePFT,1.0,-0.944116995106107
PFTDPW,0.17782794100389226,35.866377666729846
PFTDPW,0.31622776601683794,28.955705952772842
POMCPOW,0.03162277660168379,9.416802867351493
POMCPOW,0.03162277660168379,64.69793281249999
POMCP,0.5623413251903491,-81.53624416868976
SparsePFT,0.01778279410038923,14.410615001109896
SparsePFT,1.0,38.27250539370321
POMCP,0.31622776601683794,-64.21558261211118
PFTDPW,1.0,-15.65535813123188
POMCP,0.056234132519034905,-60.028441931267935
POMCPOW,0.31622776601683794,77.74074999999999
SparsePFT,0.056234132519034905,40.605590950361304
POMCPOW,0.03162277660168379,30.71723742069774
PFTDPW,0.01778279410038923,-5.999198631748122
POMCP,0.01778279410038923,-53.003578289070134
SparsePFT,0.31622776601683794,2.7623853668001814
PFTDPW,0.01,-1.426548022042894
POMCPOW,1.0,68.3412125
POMCP,0.056234132519034905,-79.11378399462984
POMCP,1.0,-62.17484363673325
POMCP,0.5623413251903491,-73.40597894837046
POMCPOW,0.17782794100389226,73.66821875
